,,category,sub-category,trope,definition,hypothesis_template,open_question,boolean_question
1,1,Character Trait,Evil/Asshole,Big Bad,The character who is the direct cause of all of the bad happenings in a story.,[blank] is the cause of all the bad happenings.,Who is the cause of all the bad happenings?,Is someone the cause of all the bad happenings?
2,2,Character Trait,Evil/Asshole,Jerkass,A character who is so completely obnoxious that it is unbelievable anyone would willingly interact with them.,[blank] is completely obnoxious.,Who is completely obnoxious?,Is someone completely obnoxious?
3,3,Character Trait,Evil/Asshole,Faux Affably Evil,A villain whose politeness is an act that only serves to enhance their evil.,[blank] is polite as an act that enhances their evil.,Who is the polite villain?,Is someone the polite villain?
4,4,Character Trait,Evil/Asshole,Smug Snake,A type of character (usually a villain) who tends to treat friends and enemies alike with equal disdain.,[blank] treats friends and enemies with equal disdain.,Who treats friends and enemies alike with equal disdain?,Does someone treat friends and enemies alike with equal disdain?
5,5,Character Trait,Evil/Asshole,Abusive Parents,"This includes parents who are emotionally, verbally, physically, or mentally abusive, or who neglectfully allow their children to be abused by others if they don't abuse the child themselves",[blank] is an abusive or neglectful parent.,Who is the abusive or neglectful parent?,Is someone the abusive or neglectful parent?
6,6,Character Trait,Evil/Asshole,Would Hurt a Child,"People that do hurt children, sometimes even kill them.",[blank] hurts children.,Who hurts children?,Does someone hurt children?
7,1,Character Trait,Good at...,Action Girl,An Action Girl is a female badass who is tough and kicks butt.,[blank] is a woman who is tough and fights.,Who is the tough woman who fights?,Is someone the tough woman who fights?
8,2,Character Trait,Good at...,Reasonable Authority Figure,"Authority that is open to heros' insane ideas. Often, they'll ask for proof and facts rather than follow baseless accusations, but even then, they'll usually humor the heroes and go check out their theories.",[blank] is an authority open to the hero's insane ideas.,Who is an authority open to the hero's insane ideas?,Is an authority open to the hero's insane ideas?
9,3,Character Trait,Good at...,Papa Wolf,"Paternal instinct can transform a Bumbling Dad into an Action Dad. If someone threatens his kids they will soon wish 
 they'd never come within a mile of them.",[blank] is a dumb dad who becomes a badass.,Who is the dumb dad who becomes a badass?,Is someone a dumb dad who becomes a badass?
10,4,Character Trait,Good at...,Deadpan Snarker,"A character prone to gnomic, sarcastic, sometimes bitter, occasionally whimsical asides.",[blank] often gives pithy and sarcastic asides.,Who gives pithy and sarcastic asides?,Does someone give pithy and sarcastic asides?
11,5,Character Trait,Good at...,Determinator,"A character \ good or evil, male or female, young or old \ who never gives up. Ever. No matter what.",[blank] never gives up.,Who never gives up?,Does someone never gives up?
12,6,Character Trait,Good at...,Only Sane Man,"When there is a group of characters who are all just totally weird, either in general or in a particular scenario, the Only Sane Man is the only one who, well, isn't.",[blank] is the only person who is rational and not weird.,Who is the only rational and normal person?,Is someone the one rational and normal person?
13,1,Character Trait,Complicated,Anti-Hero,An antihero is a protagonist who has the opposite of most of the traditional attributes of a hero.,[blank] is a morally questionable hero.,Who is the morally questionable hero?,Is someone a morally questionable hero?
14,2,Character Trait,Complicated,Asshole Victim,When the victim is a bad guy.,[blank] is a victim and an asshole.,Who is a victim and an asshole?,Is someone a victim and an asshole?
15,3,Character Trait,Complicated,Jerk with a Heart of Gold,A person you would expect to be a big Jerkass has some redeeming qualities behind their tough demeanor.,[blank] is a jerk with redeeming qualities.,Who is a jerk with redeeming qualities?,Is someone a jerk with redeeming qualities?
16,4,Character Trait,Complicated,Even Evil Has Standards,"Keep a villain safely on the \""still sympathetic\"" side of the Moral Event Horizon; give him something that he simply will not do.",[blank] is a villain who won't do something vile.,Who is a villain with limits?,Is someone a villain with limits?
17,5,Character Trait,Complicated,Affably Evil,"Villains that are not too bad. There is absolutely nothing separating them from being normal, polite people except for the fact that they want to take over the world.",[blank] is a villain who is sincerely nice.,Who is a sincerely nice villain?,Is someone a sincerely nice villain?
18,1,Character Trait,Poor at...,Too Dumb to Live,People who are so stupid that they simply do not deserve to survive.,[blank] is stupid and causes their own death.,Who is stupid and causes their own death?,Is someone stupid and the cause of their own death?
19,2,Character Trait,Poor at...,Butt-Monkey,"The character who is always the butt of the demeaning joke or the \""put them through hell\"" plotline.",Things always go wrong for [blank].,Who do things always go wrong for?,Do things always go wrong for someone?
20,3,Character Trait,Poor at...,Ax-Crazy,"An \""ax-crazy\"" character is someone who is psychologically unstable and presents a clear and immediate danger to others.",[blank] is dangerously insane and prone to violence.,Who is dangerously insane and prone to violence?,Is someone dangerously insane and prone to violence?
21,4,Character Trait,Poor at...,Adorkable,"An adorkable character might be socially inept, shy or clumsy. However, rather than making them an outcast, these quirks give the character an endearing vulnerability.",[blank] is cute because they are awkward.,Who is cute and awkward?,Is someone both cute and awkward?
22,5,Character Trait,Poor at...,Berserk Button,"Some characters always get enraged when given a certain, minor trigger.",[blank] is always enraged by a trigger.,Who is always enraged by a trigger?,Is someone always enraged by a trigger?
23,1,Character Trait,Others,Ms. Fanservice,"A female character who provides a significant amount of Fanservice (generally for males), ranging from simple revealing of cleavage, midriff, shoulders or legs, to shots of her curves, hips or derriere (even when covered).",[blank] is a very sexualized woman.,Who is a very sexualized woman?,Is someone a very sexualized woman?
24,2,Character Trait,Others,The Alcoholic,"This person likes their liquor, and in large amounts.",[blank] drinks a lot of alcohol.,Who drinks a lot of alcohol?,Does someone drink a lot of alcohol?
25,3,Character Trait,Others,Disappeared Dad,The father of a character or characters is missing or absent.,[blank] has an absent father.,Who has an absent father?,Does someone have an absent father?
26,4,Character Trait,Others,Would Hit a Girl,A guy (good or evil) has no problems with violence against women.,[blank] has no problem with violence against women.,Who has no problem with violence against women?,Does someone have no problem with violence against women?
1,1,Role Interaction,Awareness,"Oh, Crap!","The moment at which a character realizes that something really, REALLY bad is about to happen.",[blank] realizes something really bad is about to happen.,Who realizes something really bad is about to happen?,Does someone realize something really bad is about to happen?
2,2,Role Interaction,Awareness,Driven to Suicide,"Whatever the reason, a character may be driven to commit suicide.",[blank] is driven to suicide.,Who is driven to suicide?,Is someone driven to suicide?
3,3,Role Interaction,Awareness,Adult Fear,"Things that mature, well-adjusted adults generally are concerned about, as opposed to supernatural fears.",[blank] is a normal adult fear explored.,What normal adult fear is explored?,Is a normal adult fear explored?
4,4,Role Interaction,Awareness,Not So Different,"When one character in a pair (who'd otherwise be different and/or unrelated) discovers that they actually have some things in common, more than the other character would want to believe.","[blank] discovers they have something in common with a different person, more than that person would believe.",Who has more in common with a different person than they thought?,Does someone have more in common with a different person than they thought?
5,5,Role Interaction,Awareness,Heroic BSoD,"A stunning revelation or horrible event affects a character or someone they care deeply about, leaving them shocked to the point of mentally shutting down for a while.",[blank] experiences a shock and has an emotional breakdown.,Who experiences a shock and has an emotional breakdown?,Does someone experience a shock and have an emotional breakdown?
6,6,Role Interaction,Awareness,"Big \\""NO!\\""","The moment when a character realizes that something awful has happened, or notices that something awful is about to happen, and screams \""NOOOOOOOOOOOOOOO!\""","[blank] screams \""No!\""","Who screams \""No\""?","Does someone scream \""No\""?"
7,1,Role Interaction,Encounter,Eye Scream,"When the creator of a work takes advantage of our Primal Fear of having something utterly horrible happen to our eyes, usually involving the invasion of the eye sockets by a foreign body.",[blank] is a horrible thing that happens to eyes.,What horrible thing happens to eyes?,Does something horrible happen to eyes?
8,2,Role Interaction,Encounter,Gory Discretion Shot,Blood or brains are seen splattering against a wall and the rest is left to the imagination.,[blank] is a violent act left to the imagination.,What violence is left to the imagination?,Is some violence left to the imagination?
9,3,Role Interaction,Encounter,Impaled with Extreme Prejudice,When someone gets stabbed in a really extreme way..,[blank] is stabbed in an extreme way.,Who is stabbed in an extreme way?,Is someone stabbed in an extreme way?
10,4,Role Interaction,Encounter,Off with His Head!,When someone is going to get his head chopped off.,[blank] get's their head chopped off?,Who get's their head chopped off?,Does someone get their head chopped off?
11,5,Role Interaction,Encounter,Disney Villain Death,Villains exit the film by falling off or out of things.,The villain [blank] is killed by falling from a great height.,Who is the villain killed by falling from a great height?,Is a villain killed by falling from a great height?
12,1,Role Interaction,Action-T,Your Cheating Heart,Cheating on your partner.,[blank] cheats on their partner.,Who cheats on their partner?,Does someone cheat on their partner?
